time,acc_x,acc_y,acc_z
2173334.251,-1.643,4.568,8.212
2173334.271,-1.543,4.045,8.303
2173334.291,-1.252,4.184,8.873
2173334.31,-1.076,4.38,8.726
2173334.33,-0.242,4.235,8.267
2173334.35,-0.47,3.154,9.6
2173334.37,-0.371,3.062,9.657
2173334.389,-0.262,3.521,9.928
2173334.409,0.029,3.032,9.16
2173334.429,0.354,2.601,9.08
2173334.449,0.439,2.854,9.123
2173334.468,0.408,2.691,9.294
2173334.488,0.682,2.639,9.959
2173334.508,0.614,2.409,10.044
2173334.528,0.311,2.5,10.22
2173334.548,0.172,2.681,10.348
2173334.567,0.1,2.839,10.124
2173334.587,0.331,2.983,9.973
2173334.607,0.21,2.7,9.821
2173334.627,-0.159,2.954,9.48
2173334.646,-0.539,3.188,9.157
2173334.666,-0.804,3.299,8.816
2173334.686,-0.232,3.04,9.29
2173334.706,0.287,2.691,9.632
2173334.725,0.196,2.509,9.536
2173334.745,0.22,2.342,9.39
2173334.765,0.302,2.322,9.484
2173334.785,0.259,2.351,9.717
2173334.805,0.081,2.38,9.565
2173334.824,0.11,2.284,9.38
2173334.844,0.023,2.255,9.57
2173334.864,-0.256,2.279,9.608
2173334.884,-0.323,2.236,9.65
2173334.903,-0.217,2.222,9.812
2173334.923,-0.135,2.203,9.707
2173334.943,-0.155,2.265,9.451
2173334.963,-0.179,2.366,9.475
2173334.982,-0.145,2.337,9.328
2173335.002,-0.237,2.246,9.432
2173335.022,-0.203,2.164,9.84
2173335.042,-0.284,2.045,9.826
2173335.061,-0.477,1.973,9.821
2173335.081,-0.578,1.968,9.57
2173335.101,-0.659,2.036,9.541
2173335.121,-0.583,2.012,9.802
2173335.141,-0.775,2.179,9.447
2173335.16,-0.813,2.198,9.1
2173335.18,-0.785,2.207,9.622
2173335.2,-0.77,2.227,9.954
2173335.22,-0.765,2.193,9.911
2173335.239,-0.848,2.233,9.801
2173335.259,-0.968,2.276,9.563
2173335.279,-0.925,2.328,9.493
2173335.299,-0.834,2.343,9.573
2173335.318,-0.824,2.381,9.696
2173335.338,-0.791,2.352,9.635
2173335.358,-0.829,2.376,9.787
2173335.378,-0.843,2.343,9.901
2173335.398,-0.848,2.343,9.464
2173335.417,-0.901,2.472,9.341
2173335.437,-0.81,2.448,9.397
2173335.457,-0.704,2.395,9.274
2173335.477,-0.637,2.467,9.397
2173335.496,-0.651,2.506,9.659
2173335.516,-0.593,2.51,9.426
2173335.536,-0.588,2.491,9.298
2173335.556,-0.598,2.578,9.545
2173335.575,-0.637,2.52,9.563
2173335.595,-0.747,2.673,9.659
2173335.615,-0.853,2.745,9.431
2173335.635,-0.752,2.673,9.288
2173335.655,-0.661,2.625,9.506
2173335.674,-0.737,2.587,9.45
2173335.694,-0.901,2.725,9.108
2173335.714,-1.025,2.927,8.928
2173335.734,-0.823,2.84,9.255
2173335.753,-0.646,2.654,9.464
2173335.773,-0.574,2.64,9.796
2173335.793,-0.516,2.668,9.682
2173335.813,-0.612,2.573,9.365
2173335.832,-1.131,2.697,8.99
2173335.852,-1.179,2.381,8.421
2173335.872,-1.419,2.348,7.619
2173335.892,-1.525,2.271,7.216
2173335.911,-1.525,2.242,6.756
2173335.931,-1.218,2.133,7.04
2173335.951,-0.602,2.123,7.88
2173335.971,-0.367,2.218,7.97
2173335.991,-0.319,1.864,7.942
2173336.01,-0.655,1.027,7.292
2173336.03,0.325,1.213,8.25
2173336.05,1.301,2.611,9.544
2173336.07,2.06,3.826,7.368
2173336.089,2.622,1.582,11.489
2173336.109,2.036,1.061,4.859
2173336.129,2.454,-0.203,4.304
2173336.149,4.083,1.649,9.706
2173336.168,2.06,2.979,7.89
2173336.188,1.81,1.41,7.211
2173336.208,0.335,0.616,7.074
2173336.228,-2.173,-0.509,8.449
2173336.248,-2.822,-2.208,6.59
2173336.267,-1.895,-2.409,4.926
2173336.287,-0.16,-4.931,6.382
2173336.307,3.218,-6.965,6.291
2173336.327,6.885,-9.478,5.386
2173336.346,10.214,-9.262,9.307
2173336.366,13.14,-10.023,17.322
2173336.386,16.398,-9.554,14.335
2173336.406,16.355,-9.641,11.93
2173336.425,16.504,-9.066,15.42
2173336.445,17.479,-8.506,13.514
2173336.465,15.802,-8.243,9.303
2173336.485,13.356,-7.558,8.003
2173336.505,11.28,-6.783,8.302
2173336.524,10.252,-7.822,8.208
2173336.544,10.454,-7.731,3.564
2173336.564,8.729,-7.075,0.695
2173336.584,6.264,-6.104,4.318
2173336.603,3.79,-3.314,8.458
2173336.623,4.986,-5.323,-2.264
2173336.643,6.149,-5.855,-8.77
2173336.663,3.391,-1.787,3.839
2173336.682,-1.04,0.845,4.669
2173336.702,1.387,0.314,0.444
2173336.722,3.77,-0.768,-0.476
2173336.742,5.005,-2.72,-1.567
2173336.761,9.518,-5.39,-1.78
2173336.781,10.128,-8.166,-0.457
2173336.801,7.759,-7.128,1.857
2173336.821,6.106,-6.29,-1.154
2173336.841,5.818,-8.448,-4.27
2173336.86,6.692,-9.511,-3.127
2173336.88,7.173,-8.152,-1.633
2173336.9,4.732,-6.309,-2.013
2173336.92,4.742,-6.089,-3.014
2173336.939,3.32,-7.955,0.795
2173336.959,3.622,-9.195,3.118
2173336.979,5.429,-9.912,1.222
2173336.999,5.4,-8.573,1.838
2173337.018,6.217,-5.898,2.345
2173337.038,2.373,-8.606,-0.315
2173337.058,2.431,-6.64,2.625
2173337.078,3.276,-8.53,-1.43
2173337.098,0.509,-10.559,1.288
2173337.117,4.29,-16.656,-1.572
2173337.137,4.449,-17.68,-0.713
2173337.157,2.696,-13.909,3.261
2173337.177,2.594,-12.21,2.886
2173337.196,2.888,-11.832,1.388
2173337.216,3.815,-10.645,0.747
2173337.236,2.998,-7.07,0.614
