sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,0,-3.478290796,1.754658797,9.61907698,-1.689578507,-1.341747833,-0.195567968
1,0.009765625,-3.325337613,1.652183951,9.763160297,-5.190842705,-2.175070436,2.744590193
2,0.01953125,-3.365364466,1.643196139,9.619493998,-6.511321891,-4.227059354,4.272880937
3,0.029296875,-3.423351443,1.491094447,9.472190171,-5.103430009,-7.830016621,2.725375118
4,0.0390625,-3.458437353,1.314756324,9.533012773,-1.714087007,-8.69667803,-0.591399828
5,0.048828125,-3.299704163,1.305393825,9.625332407,1.426783297,-8.172258366,-3.657860416
6,0.05859375,-3.22478468,1.263714251,9.852785576,5.485452843,-10.05581179,-7.344863262
7,0.068359375,-3.15191561,0.823010447,10.30445823,6.150890078,-9.460991569,-9.930289028
8,0.078125,-3.0056658,0.50081249,10.40902841,3.319193967,-10.74016012,-9.085646969
9,0.087890625,-3.034502169,0.477309854,10.44966274,-0.427090225,-10.65963582,-6.5753886
10,0.09765625,-3.06139018,0.425101091,10.54287187,-1.617901634,-14.34222298,-5.730674229
11,0.107421875,-2.854395229,0.21677117,10.54333936,-2.577107487,-15.82511864,-5.308939743
12,0.1171875,-2.892174797,-0.004922711,10.56752191,1.124948066,-6.598022088,-7.972124806
13,0.126953125,-2.301988238,0.046735346,10.29317842,2.572555784,-8.220929594,-3.035259438
14,0.13671875,-1.910039291,0.038968301,10.21820578,9.999230639,12.13453928,8.300965354
15,0.146484375,-2.705323043,0.183650719,10.61500034,19.48701333,53.16884814,26.93722869
16,0.15625,-3.440738376,0.504378009,10.59962226,19.29339982,77.86118446,35.78185016
17,0.166015625,-3.512105891,0.906808148,10.32102451,17.71136175,80.82235153,35.10544726
18,0.17578125,-3.625037504,0.963339102,10.14742308,15.38956719,74.27596201,34.8240018
19,0.185546875,-3.41610112,0.793176007,10.41580995,13.77658592,73.17997704,28.33462238
20,0.1953125,-3.071717857,0.434758499,10.85391739,10.35959552,93.74170127,28.08012611
21,0.205078125,-3.717715983,0.398142717,11.58063514,-13.58202414,90.46487949,62.61461497
22,0.21484375,-5.424261018,0.486326835,10.0018897,-44.50256053,90.3324906,75.9650642
23,0.224609375,-5.894686503,0.552703186,8.698181821,-52.16789583,94.53466105,29.92075165
24,0.234375,-6.162140431,0.570747696,8.461716615,-48.43354781,94.72734946,-1.458788539
25,0.244140625,-6.126563673,0.49144216,8.223117058,-44.70736862,57.7791716,-30.12985561
26,0.25390625,-5.527293869,-0.474903998,8.055866939,-41.47500928,13.32563813,-66.60229647
27,0.263671875,-5.42216476,-1.033123951,8.465591989,-32.96830447,10.73956444,-93.09359857
28,0.2734375,-5.49873909,-1.567408718,9.36982754,-21.48316743,36.29122872,-104.9749814
29,0.283203125,-5.660029121,-2.305782407,8.562127328,-18.25079902,53.97104371,-103.663129
30,0.29296875,-6.268104975,-2.603141946,7.679774341,18.43134937,84.75525372,-113.5462186
31,0.302734375,-6.461229228,-2.507379407,8.250365544,55.83055928,89.80916871,-117.9631414
32,0.3125,-6.400986446,-2.813981259,7.779084881,60.26946572,48.03773731,-126.5985894
33,0.322265625,-7.236039792,-2.401015996,7.223728928,94.24048381,49.2666649,-127.1600557
34,0.33203125,-8.728951094,-4.442572842,7.712792556,167.9163327,56.8405791,-107.8785698
35,0.341796875,-7.887585315,-2.913302063,9.914527379,192.4681402,30.38949654,-133.876922
36,0.3515625,-7.464643335,-1.989716843,10.35715472,164.9807421,-42.11726267,-161.0430298
37,0.361328125,-7.480835465,-2.111279482,9.824755298,147.4709593,-107.93999,-183.4463181
